race,age,engnat,gender,hand,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
3,16,1,1,1,3,1,4,3,5,1,5,4,4,2
3,18,1,1,1,1,4,5,4,4,3,3,4,4,4
3,16,1,1,1,3,1,5,1,4,2,5,3,5,2
4,22,1,2,2,4,4,4,2,4,2,4,3,4,3
3,35,2,1,1,4,2,4,2,3,2,2,2,4,4
3,22,1,1,1,4,2,4,2,4,2,4,2,3,3
3,17,1,1,1,5,1,4,3,4,2,5,2,4,2
13,20,1,2,1,5,1,4,3,5,3,4,5,3,3
3,17,1,2,1,4,1,4,2,5,2,5,3,4,4
13,17,1,1,1,4,3,4,3,4,3,4,5,1,5
13,17,1,2,1,4,1,5,2,3,1,5,1,5,3
3,17,1,2,3,3,3,4,3,4,3,4,3,4,3
3,18,2,1,2,1,5,3,4,2,5,1,4,2,5
13,23,1,2,3,5,3,5,1,5,1,5,3,5,1
3,17,2,1,1,3,2,3,2,5,1,4,4,4,2
12,17,1,2,3,3,3,4,4,3,1,4,4,4,3
13,20,1,1,1,3,3,5,2,3,2,4,3,3,3
3,46,1,1,1,2,4,2,4,1,3,1,5,2,5
3,40,1,2,1,3,3,3,2,3,1,2,2,4,3
3,15,1,2,1,1,5,1,5,1,5,1,5,3,3
3,37,1,1,1,5,3,3,3,3,2,4,3,4,5
13,1996,1,1,1,2,4,3,4,2,3,1,5,2,5
3,17,1,2,1,1,5,2,5,1,4,1,5,1,5
8,17,1,1,1,3,2,5,2,5,2,5,4,4,2
3,17,1,1,1,1,3,4,3,4,2,4,4,4,3
9,18,1,1,1,4,1,3,4,4,2,4,5,5,5
11,21,1,2,1,5,1,5,3,5,3,5,2,1,3
3,17,1,2,1,1,5,2,5,2,4,2,5,1,5
13,16,1,2,1,2,2,3,3,3,2,3,4,3,4
1,18,1,2,1,1,5,2,3,1,2,1,4,2,5
11,15,2,2,1,3,3,1,5,1,3,1,5,5,5
3,16,1,2,1,2,3,4,3,3,2,1,5,3,4
3,17,1,1,1,4,2,3,5,5,1,2,2,5,3
4,17,1,2,1,1,2,4,4,2,2,2,5,2,4
3,16,1,2,1,3,2,4,3,5,2,5,4,4,3
13,17,1,1,1,5,1,5,1,5,1,5,2,5,1
3,16,1,2,1,3,1,5,3,5,2,5,3,5,4
3,16,1,2,1,5,1,4,1,5,1,5,1,5,3
3,16,1,2,1,4,1,5,4,4,1,4,3,4,3
5,19,1,2,1,3,1,5,2,4,3,4,5,1,4
1,16,1,1,1,4,3,5,1,4,2,5,4,3,4
6,16,1,2,1,3,1,4,2,5,1,5,2,3,5
1,18,2,1,3,3,1,5,1,4,2,4,3,4,1
1,16,1,1,1,3,3,4,3,5,3,5,2,5,3
3,18,1,2,1,4,2,4,2,3,2,3,3,5,2
3,36,1,2,1,1,4,1,4,2,3,1,4,2,4
3,46,1,2,1,1,2,4,3,4,2,4,5,2,4
11,22,2,2,1,1,5,3,3,5,4,1,5,1,2
13,41,1,2,2,3,1,4,2,4,1,4,2,3,3
3,32,2,1,1,1,5,1,5,1,5,1,5,1,5
3,18,1,2,1,4,3,3,2,2,3,4,2,5,5
8,20,1,2,1,4,3,5,2,4,2,4,3,4,4
3,19,2,1,1,3,2,2,3,4,2,2,1,5,2
13,21,1,2,1,4,2,4,3,4,1,5,4,3,3
3,25,1,2,1,2,4,4,4,2,3,1,4,3,4
4,15,2,2,3,1,4,3,3,2,4,3,1,5,5
3,14,1,3,1,2,1,2,3,2,1,1,2,3,4
3,28,2,2,1,4,3,4,3,4,2,4,2,4,3
1,17,1,2,1,1,2,3,2,4,1,3,3,2,5
4,19,1,2,1,5,1,5,1,5,1,5,5,3,4
13,20,1,1,1,4,2,1,5,2,2,1,5,1,5
8,28,1,1,3,3,4,5,3,5,1,4,3,5,1
3,31,1,2,2,4,3,3,4,3,2,3,3,4,4
11,56,2,2,1,1,4,4,3,2,3,4,4,3,3
3,20,1,2,1,2,3,4,4,4,2,3,4,2,2
3,16,1,2,1,2,3,2,2,3,2,2,3,3,2
3,24,1,1,2,1,1,3,3,4,2,4,5,2,5
3,14,1,2,1,1,3,2,2,1,3,1,4,2,4
1,27,1,1,1,2,4,5,4,3,3,3,4,4,3
12,20,1,2,1,5,2,3,2,5,2,3,4,3,5
13,17,1,1,1,4,3,4,4,2,3,1,5,2,5
3,25,2,1,1,2,2,2,4,2,2,2,4,3,4
3,35,1,2,1,2,4,4,2,3,2,2,2,4,2
3,17,1,2,1,4,1,4,1,4,1,3,3,2,3
3,31,2,1,1,4,4,4,2,4,2,4,2,4,2
5,16,2,2,1,2,2,1,3,3,3,3,4,2,3
3,15,1,2,1,3,2,3,3,5,2,3,3,4,5
3,48,1,2,1,1,3,4,4,4,2,1,4,1,4
5,15,1,2,1,3,2,3,3,4,5,5,2,3,2
3,17,1,2,1,5,1,5,1,5,2,5,2,5,2
8,58,1,1,1,4,3,5,3,5,1,3,1,5,1
13,16,2,2,1,3,1,4,2,4,1,5,2,4,2
3,16,1,2,1,3,1,3,5,4,1,5,5,1,5
3,28,1,2,1,1,4,2,4,2,5,2,4,1,5
13,1996,2,2,1,3,3,2,3,3,4,2,2,5,4
1,17,1,1,1,4,2,4,2,4,1,3,3,4,3
9,17,2,1,1,2,4,4,3,3,3,2,2,4,4
11,25,2,1,1,3,3,3,4,4,3,1,3,4,4
3,19,1,2,2,4,1,5,1,5,1,5,1,5,5
3,42,1,1,1,2,4,3,3,2,3,1,3,2,4
4,26,2,1,1,5,5,3,5,3,5,3,5,5,2
3,24,1,2,1,4,1,4,2,4,1,4,1,1,3
3,21,2,1,1,4,4,2,4,1,2,1,4,2,4
3,17,1,1,1,4,2,5,4,4,5,5,5,4,5
11,24,1,2,1,4,1,5,2,5,1,4,2,5,3
11,25,2,2,1,3,1,5,5,5,1,3,3,3,3
13,13,1,1,1,5,1,5,1,5,1,5,1,5,4
4,21,2,2,1,1,4,4,1,3,5,1,5,5,5
3,16,1,2,2,1,1,3,3,1,1,1,4,5,5
3,17,1,1,1,3,1,4,1,4,2,4,3,4,2
13,17,1,2,1,4,1,4,2,5,1,5,2,3,1
4,19,1,2,1,3,1,5,3,2,1,3,3,4,4
3,19,2,1,1,2,5,4,3,3,3,2,4,2,4
4,20,1,2,1,3,2,5,3,3,2,4,2,1,3
13,15,1,2,1,3,1,5,1,5,2,3,2,4,5
4,24,2,2,1,4,5,5,4,4,2,3,2,4,2
13,36,1,2,1,1,3,5,3,4,3,2,4,5,5
9,30,1,1,1,3,5,2,5,1,2,1,5,1,5
3,17,2,2,1,1,3,2,4,1,1,1,5,1,5
3,51,1,2,1,5,1,5,2,5,1,5,1,5,3
1,26,1,2,1,1,5,3,5,4,4,1,5,1,4
8,18,1,2,1,2,5,2,4,1,4,1,4,4,5
3,25,2,2,1,3,3,3,5,1,4,1,5,1,4
4,16,2,2,1,2,2,4,5,3,3,3,3,4,4
3,43,1,2,1,3,4,4,3,4,4,4,4,3,2
3,19,1,1,1,2,3,3,4,3,4,2,3,4,4
8,16,1,2,2,5,1,5,2,4,1,5,1,5,1
3,19,1,2,1,4,1,5,2,5,2,4,2,4,2
3,17,1,2,1,5,1,4,1,2,2,5,3,4,1
3,27,1,1,2,3,2,4,4,2,3,1,4,4,4
3,43,1,2,1,3,4,2,4,2,1,1,5,1,5
3,22,1,2,1,3,2,4,2,4,2,4,4,4,3
3,17,1,2,1,4,3,4,3,3,2,4,2,5,4
13,17,1,2,1,3,2,5,4,3,2,5,2,5,5
13,39,1,2,1,4,2,4,2,4,2,4,2,4,3
3,20,1,2,1,4,1,5,1,5,1,5,1,5,2
3,52,1,1,1,4,2,4,2,5,1,4,2,5,2
3,33,2,1,1,1,4,3,4,3,2,1,3,3,5
3,18,2,1,1,4,1,3,3,5,1,5,2,3,3
3,26,1,1,1,5,1,4,1,5,1,5,1,5,1
3,17,2,1,1,1,4,2,5,1,4,1,4,1,5
13,35,1,2,1,2,3,3,3,2,4,2,2,3,5
3,41,1,2,1,1,4,3,4,3,3,2,4,1,4
3,17,2,1,2,5,2,4,1,3,1,4,1,5,2
3,24,1,2,1,3,3,3,3,4,2,2,3,1,5
1,52,1,2,1,3,1,4,3,5,1,3,3,4,2
3,22,2,2,1,3,2,4,3,4,2,2,4,1,2
13,20,2,1,1,4,2,5,3,5,1,4,3,4,4
3,32,1,1,1,2,3,5,3,3,2,2,3,5,3
13,32,1,2,1,4,2,5,1,5,1,5,3,4,2
3,16,1,2,1,1,2,1,4,2,3,1,2,1,4
13,34,1,1,1,3,4,4,3,4,2,5,4,5,2
13,21,1,2,1,5,1,5,5,5,1,5,5,5,5
12,29,1,2,3,2,3,3,3,3,2,3,5,1,3
3,48,1,2,2,3,1,2,2,5,1,5,3,4,3
3,34,1,2,1,2,3,2,3,3,4,2,3,3,3
3,44,1,1,1,4,2,4,3,4,1,4,4,4,3
3,21,1,2,1,2,5,2,5,1,4,2,4,2,4
3,18,1,1,1,2,4,3,5,2,5,1,5,5,5
3,15,1,2,3,1,4,2,3,4,4,2,5,2,5
11,19,1,2,1,2,4,3,4,2,3,3,5,5,4
3,18,1,1,1,3,5,4,4,4,4,4,5,3,3
3,21,2,1,1,3,3,4,2,5,1,4,3,5,5
3,34,1,1,1,2,3,3,3,3,5,2,3,4,4
13,14,2,2,1,3,1,5,2,4,1,2,5,3,5
11,26,2,2,1,2,2,2,2,4,1,1,4,3,4
3,27,1,1,1,4,1,5,3,5,1,4,5,5,3
3,16,1,2,1,4,3,4,2,5,1,3,2,4,3
3,16,1,2,1,4,3,3,2,3,1,3,4,2,5
1,15,1,1,1,1,5,3,5,2,5,3,2,4,5
8,24,1,2,1,1,3,4,3,4,1,3,2,2,4
3,17,1,1,1,3,3,4,3,4,4,2,5,2,4
3,22,1,1,1,3,4,4,3,4,4,4,3,2,3
3,15,1,2,1,3,2,1,1,1,1,1,3,5,5
3,19,1,1,1,2,4,3,4,2,2,1,5,2,5
1,15,1,2,1,5,1,3,2,4,2,5,3,4,2
11,15,1,2,1,4,2,4,2,5,1,5,2,4,2
9,37,2,1,1,4,1,5,3,5,2,4,3,5,1
1,34,1,1,1,4,2,2,2,4,2,4,4,5,4
3,25,1,2,1,5,1,5,1,5,1,5,2,5,1
3,22,1,2,1,1,5,2,5,2,4,1,5,2,5
0,35,1,2,1,1,3,5,3,4,2,2,3,3,4
3,48,1,2,1,1,2,2,3,5,1,2,3,2,4
1,18,1,1,3,5,1,5,2,5,2,5,4,5,3
3,17,1,2,1,4,4,5,2,5,2,5,2,4,2
3,28,1,2,1,2,3,3,2,2,2,4,2,2,5
3,21,1,1,1,3,4,4,3,3,1,1,3,4,3
3,18,1,2,1,2,3,4,2,4,1,4,3,4,5
3,49,1,2,1,1,3,4,4,4,4,2,5,3,5
11,13,2,2,1,1,5,2,4,2,3,1,5,1,5
3,18,1,2,1,3,4,3,3,2,1,2,4,3,5
3,37,1,1,1,1,3,2,4,2,3,1,4,1,4
3,45,1,1,2,4,2,4,2,5,1,4,3,4,4
12,19,1,2,1,3,1,5,2,5,1,2,2,4,1
11,57,1,2,1,2,4,2,3,3,3,1,3,5,3
3,40,2,1,1,1,3,4,3,4,2,5,2,3,3
1,26,1,2,1,3,1,3,3,4,1,3,5,2,3
0,20,1,1,1,1,4,2,4,3,5,1,4,2,4
3,23,1,1,1,2,4,3,4,3,2,3,3,4,4
12,37,1,2,2,1,5,2,5,1,4,1,5,1,5
3,31,1,1,1,1,4,4,4,2,2,2,4,3,4
1,16,1,2,1,1,3,3,3,3,3,1,3,5,5
4,15,2,2,3,2,2,4,3,4,2,3,3,2,3
13,19,2,2,1,3,4,5,2,3,5,3,5,5,3
13,20,2,1,1,2,5,4,4,3,5,1,3,4,5
5,54,2,1,1,3,1,5,2,5,1,1,4,4,4
3,18,1,2,1,2,4,4,4,1,2,1,4,2,4
3,20,1,1,1,4,1,4,2,5,1,3,2,4,2
11,25,2,2,1,1,4,2,4,2,3,3,5,3,5
3,57,1,2,2,1,5,3,3,4,3,1,5,1,5
11,19,2,2,1,4,2,4,5,4,3,4,3,4,3
8,17,1,2,1,1,5,1,5,1,5,1,5,1,5
3,18,1,1,1,5,4,2,4,1,4,2,5,2,4
3,51,1,1,2,5,1,4,2,5,2,5,4,5,2
4,23,2,2,1,2,1,5,4,5,1,1,1,5,4
4,23,2,1,1,4,3,4,3,3,2,4,2,4,2
11,22,2,2,1,2,3,3,5,3,3,3,5,2,5
3,18,1,2,1,1,3,2,4,3,3,2,5,1,5
13,22,2,2,1,2,5,2,4,2,2,2,4,2,5
1,32,2,2,1,5,1,4,1,5,1,5,2,5,3
13,23,2,2,1,5,1,5,4,5,1,4,1,5,1
13,20,1,2,1,1,4,2,4,3,4,2,4,2,5
3,15,1,2,1,4,2,3,1,5,1,5,5,5,2
3,16,1,2,1,4,2,5,2,3,1,5,2,4,4
3,26,1,2,1,3,2,5,3,4,2,4,1,2,2
3,47,1,2,1,1,4,5,5,5,1,5,4,1,4
3,36,1,2,1,1,5,1,5,1,5,1,5,1,5
10,22,2,2,1,1,3,4,3,3,4,3,5,1,5
3,16,1,3,1,3,2,4,3,4,2,3,3,3,3
3,15,1,1,1,3,4,2,5,2,2,1,4,2,5
11,34,2,2,1,1,3,1,5,1,5,1,5,1,5
3,32,1,2,1,3,4,2,3,3,3,2,4,2,4
3,16,1,2,1,3,1,4,4,4,1,3,4,3,4
6,26,1,2,1,2,2,3,2,5,1,3,4,1,4
3,28,2,1,1,1,3,5,5,3,1,1,1,5,3
4,24,2,1,1,5,4,3,4,3,4,2,1,2,2
11,18,2,1,1,3,1,4,2,4,1,4,2,4,2
13,23,2,1,1,3,3,2,3,3,3,3,3,3,4
11,22,2,1,1,2,5,4,3,3,4,3,5,2,5
11,23,1,1,1,3,2,4,3,4,2,2,2,4,4
4,22,2,1,1,4,5,4,4,4,1,5,1,4,4
4,24,2,1,1,4,3,5,3,4,4,4,4,3,4
3,50,1,2,1,2,2,4,3,4,3,3,4,4,3
4,25,2,2,1,4,1,5,2,5,1,5,2,5,3
1,25,1,1,1,2,5,3,5,3,5,2,5,1,5
13,18,1,1,1,2,4,2,5,3,4,3,3,3,5
13,33,1,2,1,5,4,2,1,3,2,4,3,4,2
3,34,1,1,1,3,2,4,2,5,1,4,4,2,2
3,42,1,2,1,3,4,4,3,2,4,2,3,2,3
4,24,2,1,1,3,4,4,3,4,3,2,3,4,4
4,21,2,2,1,3,1,3,4,3,3,5,1,1,2
11,20,1,1,1,1,3,3,3,3,3,3,3,3,5
11,44,2,2,1,3,4,5,3,4,3,4,5,3,4
3,39,1,1,1,5,1,5,1,5,1,5,1,5,1
4,21,2,1,1,2,1,2,4,4,3,2,2,2,4
13,27,1,2,1,2,3,3,3,2,4,3,1,3,4
11,17,2,2,1,1,2,5,2,5,2,4,2,5,1
3,19,1,1,1,3,1,4,2,4,1,3,2,5,4
11,20,2,2,1,1,5,1,3,1,5,1,5,1,5
3,17,2,1,1,2,3,4,3,2,3,2,3,3,4
12,23,2,2,1,2,4,4,5,3,4,2,4,2,5
1,13,1,2,1,2,4,4,5,2,5,3,5,4,5
11,21,2,2,1,1,2,2,3,3,2,2,5,1,4
13,49,2,2,1,2,2,5,3,5,4,5,3,3,3
11,17,1,1,1,3,3,4,3,3,3,2,4,3,4
3,19,1,2,2,1,2,4,3,4,2,4,4,2,4
9,23,2,1,1,3,5,4,1,3,2,1,1,5,5
11,41,2,1,1,2,3,3,4,2,3,2,4,3,4
11,21,2,2,1,2,3,5,1,4,4,4,3,4,2
1,16,1,2,1,3,4,4,3,4,3,2,2,1,4
3,21,2,1,1,1,4,2,1,5,1,2,1,1,1
10,20,1,1,1,1,1,1,1,1,1,1,1,1,1
3,40,1,2,1,1,1,4,3,5,2,5,5,2,2
13,32,1,2,1,1,3,3,3,3,2,1,4,1,2
3,18,1,2,1,2,4,2,4,1,5,1,5,2,4
3,24,2,2,1,4,1,5,1,5,1,5,1,5,1
11,33,2,1,1,5,3,4,4,4,2,4,1,5,2
3,22,2,1,1,4,2,4,3,3,2,5,1,5,4
13,24,1,1,2,2,3,3,3,4,2,1,3,3,4
13,55,2,1,1,4,1,5,1,5,1,5,5,5,1
4,19,2,2,2,1,5,4,5,4,4,1,1,5,5
13,20,2,2,1,3,4,4,3,3,4,2,1,4,1
1,21,2,1,1,5,5,4,3,3,4,5,1,1,3
3,43,1,1,1,4,2,5,2,5,1,5,2,5,2
3,24,1,2,1,4,1,3,1,4,1,5,2,4,1
1,29,2,1,2,2,5,3,3,2,1,3,3,4,4
13,25,1,2,1,3,3,5,2,5,2,5,4,3,4
1,21,1,1,1,3,3,2,4,3,2,2,4,2,4
4,28,2,1,1,4,2,4,3,3,2,4,2,3,4
11,23,2,1,1,3,3,3,3,3,3,4,3,4,3
3,49,2,1,1,3,2,4,4,3,2,4,2,5,2
3,17,2,2,1,1,5,1,5,2,5,1,5,1,5
4,16,2,2,1,2,4,4,2,4,2,2,2,2,5
3,39,2,2,1,2,3,4,3,4,1,4,3,4,3
3,51,0,2,1,4,2,4,2,5,2,5,4,4,2
13,28,2,2,1,4,1,4,3,4,2,5,4,5,5
13,25,2,1,1,1,1,1,1,5,2,1,1,5,1
3,17,2,2,1,2,3,3,2,4,2,1,3,4,3
4,35,2,2,1,3,2,3,4,4,3,3,3,2,2
3,17,1,1,1,3,2,5,1,5,2,5,4,3,1
3,30,1,1,1,4,1,3,2,5,2,5,2,3,2
4,27,2,2,1,5,1,5,3,5,1,5,1,5,1
1,21,1,2,1,3,4,4,2,4,4,3,4,3,2
3,17,1,2,1,4,1,5,2,4,1,4,2,4,2
4,17,2,1,1,4,4,4,4,2,3,2,3,5,5
13,19,2,1,1,1,5,3,1,3,3,1,2,1,1
13,17,2,1,1,4,2,4,2,4,2,4,3,4,2
1,17,2,1,2,4,2,5,2,5,1,5,3,5,1
3,48,1,2,1,1,1,4,4,4,1,1,5,1,3
3,60,1,2,1,3,2,5,2,5,3,3,3,3,2
3,18,1,1,1,3,4,2,5,2,2,2,5,2,3
1,20,0,1,1,3,3,4,2,4,2,4,2,4,4
3,26,1,2,1,2,3,3,2,3,3,3,5,1,5
13,17,1,2,1,3,4,5,3,4,1,4,3,4,4
3,21,1,2,1,2,3,3,4,4,3,2,3,2,5
13,17,1,2,1,1,1,1,5,1,5,1,5,1,5
13,17,1,2,1,4,3,3,4,4,4,4,4,3,4
5,17,1,2,1,4,1,4,2,4,4,5,5,4,4
13,16,2,1,1,4,5,3,3,2,5,2,3,3,5
4,19,2,1,1,3,2,4,2,4,3,3,2,4,2
5,38,2,2,1,4,1,5,1,4,1,5,1,4,2
3,21,2,2,1,2,2,5,4,3,2,1,5,2,4
3,21,2,2,2,4,2,5,3,4,2,4,4,4,2
3,28,2,1,1,2,5,3,5,2,3,4,5,2,4
11,16,2,2,1,1,3,3,4,4,4,1,5,1,5
3,23,1,1,1,4,1,4,2,5,2,5,3,4,2
3,21,2,1,1,3,2,4,3,4,2,4,3,2,2
13,19,2,2,1,4,1,3,3,4,2,5,3,3,1
4,16,2,2,1,1,1,5,3,5,1,1,4,1,2
4,23,2,2,1,1,4,5,5,5,5,3,2,5,1
3,20,1,2,1,1,5,2,5,1,4,1,5,1,5
3,43,2,2,1,3,3,3,2,2,3,2,5,1,4
3,17,1,2,1,1,5,1,5,2,5,1,4,2,5
4,17,1,1,1,2,4,2,4,2,4,2,3,3,4
13,16,2,2,1,3,1,5,3,5,1,5,3,4,1
3,44,1,1,1,2,3,2,2,2,3,2,4,2,4
3,20,2,1,1,2,3,2,2,4,1,2,1,4,4
3,22,1,2,1,3,3,3,3,3,3,4,4,4,4
3,26,2,2,1,1,2,1,5,1,5,1,5,1,5
5,21,2,2,2,4,2,4,2,4,3,5,3,4,3
1,18,1,1,1,1,5,1,5,1,5,1,5,1,5
13,20,1,2,1,3,2,4,2,5,1,4,4,4,4
11,20,2,1,0,1,3,2,3,1,4,1,3,5,5
1,23,2,1,1,5,5,5,1,5,5,5,1,1,1
3,17,1,2,1,4,1,4,1,4,1,3,1,5,5
13,18,1,2,3,2,4,2,5,2,4,1,4,1,5
3,63,1,2,1,3,2,5,2,5,2,4,5,1,2
13,22,1,1,1,3,5,3,4,1,5,3,5,1,5
1,21,1,2,1,4,3,4,2,5,2,5,3,4,2
3,18,1,2,1,2,4,3,5,4,4,3,4,2,4
3,15,1,2,1,1,3,2,4,2,3,2,4,1,5
5,17,1,2,1,5,1,5,1,5,1,5,1,5,1
13,17,2,1,1,3,3,3,3,3,1,2,4,3,5
13,25,1,1,1,1,4,2,4,3,4,1,4,1,1
3,17,1,2,1,1,5,1,5,1,5,1,5,1,5
3,16,1,1,1,2,4,4,5,2,5,1,5,2,3
6,18,1,1,1,3,2,3,4,3,2,3,2,4,3
4,22,2,2,2,5,1,5,5,5,5,5,1,5,5
3,16,1,2,1,1,4,3,4,2,1,2,5,2,5
3,40,2,2,1,4,2,3,3,3,1,1,2,4,2
13,19,1,1,2,1,1,3,3,4,1,1,5,1,5
3,51,1,1,1,2,4,2,3,3,2,4,2,2,4
13,17,1,1,2,1,3,3,3,4,4,2,5,3,4
11,21,2,1,1,1,1,4,2,5,1,3,2,5,5
1,16,1,2,1,1,1,3,3,5,1,4,5,1,3
13,16,1,2,1,2,3,4,3,5,3,5,4,3,4
13,19,1,2,1,4,3,4,3,5,3,1,3,4,3
1,38,1,2,1,1,2,4,4,4,1,3,4,2,4
3,45,1,2,1,2,3,5,3,3,4,2,4,4,4
3,21,1,2,1,3,2,4,2,3,2,3,2,4,3
13,25,1,2,2,4,1,5,2,4,2,4,4,2,3
3,23,1,1,1,2,5,1,5,1,4,1,4,1,5
13,23,2,2,1,3,1,3,3,4,1,5,3,4,2
1,21,1,2,1,3,3,5,3,5,2,4,5,1,5
3,19,1,1,1,1,4,3,4,2,4,2,2,2,4
3,20,1,2,1,3,1,5,1,4,3,5,1,5,1
13,19,2,2,1,1,2,4,3,4,5,1,1,3,3
13,16,2,1,1,1,4,5,4,4,1,1,1,5,5
3,17,1,2,1,4,5,3,3,3,4,3,2,4,4
6,14,1,1,1,5,1,5,1,5,1,5,1,5,1
3,17,1,1,1,2,5,2,4,2,2,1,4,4,5
3,17,1,2,1,5,5,4,2,4,2,5,3,3,4
5,16,1,2,3,5,2,5,1,5,2,5,1,5,1
3,44,1,1,1,2,5,3,4,4,4,2,4,2,4
3,21,1,2,2,1,4,2,4,2,1,1,5,2,5
11,20,2,1,2,1,1,5,2,5,2,5,2,5,2
1,40,1,1,2,3,4,3,4,2,3,2,4,3,4
1,18,2,2,1,3,3,2,3,1,3,2,3,3,4
3,31,2,2,1,1,4,1,5,1,4,1,3,5,5
3,21,1,2,1,3,2,3,2,4,1,4,2,4,2
3,27,2,2,1,1,3,2,3,3,2,1,4,2,5
11,33,2,1,1,1,4,4,5,3,2,1,5,1,5
13,23,2,2,1,4,1,5,1,5,1,5,1,5,1
13,40,1,2,1,3,3,3,3,3,3,3,3,1,3
3,18,1,2,1,2,2,2,4,4,2,3,5,3,4
6,19,1,2,1,2,4,2,5,3,4,1,5,1,5
3,20,1,2,1,2,2,2,4,3,4,1,4,2,4
4,20,2,1,1,2,3,4,3,2,3,2,4,4,1
3,61,1,2,1,2,1,5,2,4,1,4,3,3,3
6,21,1,2,1,4,1,4,2,4,2,5,4,2,2
3,18,1,1,1,4,1,5,2,5,2,3,3,4,4
1,19,2,1,1,1,4,3,4,2,3,1,4,2,5
3,22,1,1,1,4,3,1,3,2,3,3,4,2,5
3,39,1,2,1,1,3,2,1,2,2,1,5,2,5
3,34,2,1,1,4,2,5,1,5,1,4,1,5,1
3,36,1,2,2,4,1,4,3,5,1,5,3,4,2
3,16,1,1,1,1,4,1,4,4,4,1,5,2,5
3,28,1,2,1,2,3,3,3,2,4,1,4,2,4
3,27,2,2,1,1,3,2,2,1,2,1,5,1,5
3,29,1,1,2,3,3,4,3,4,2,3,5,1,3
5,45,1,2,1,5,1,5,1,5,2,5,4,5,1
3,22,1,2,1,3,2,5,3,4,1,5,2,5,1
3,19,2,2,1,3,3,3,3,4,1,5,4,1,3
13,33,2,1,1,2,3,5,2,3,1,2,5,5,1
3,41,2,2,2,2,2,3,3,3,1,4,4,4,3
3,29,2,1,1,2,5,4,4,2,5,1,5,1,5
3,18,1,2,1,2,2,4,3,3,3,3,4,1,3
3,20,1,2,1,3,1,4,3,4,2,4,3,4,3
3,23,1,2,1,3,2,5,2,5,2,5,2,4,2
3,24,2,2,1,5,1,5,1,5,1,5,2,5,2
3,20,1,1,1,2,4,4,3,4,4,2,1,5,2
3,39,1,2,1,3,3,5,3,5,1,5,5,1,1
13,21,1,1,1,1,2,5,4,2,4,1,5,4,5
3,40,1,2,1,4,2,5,1,5,1,5,1,5,1
4,23,1,1,1,5,1,5,3,5,1,5,1,5,1
5,25,2,1,2,1,2,4,3,4,2,2,4,2,2
3,19,1,2,1,1,4,3,5,2,2,2,4,2,5
3,26,2,2,1,3,1,5,2,5,1,4,1,5,2
11,16,2,2,1,1,4,3,5,1,4,1,3,2,5
3,17,1,1,1,3,5,2,5,2,5,2,5,2,5
3,54,2,2,1,3,2,5,3,5,2,5,3,3,3
3,20,1,2,1,4,3,4,3,5,2,4,3,4,3
5,40,1,2,2,3,4,4,3,5,1,3,5,3,3
13,17,1,1,1,5,2,4,2,5,1,5,2,5,2
3,16,1,1,2,3,3,4,3,4,2,3,4,2,5
3,17,1,1,1,4,2,4,3,4,2,4,4,5,2
13,17,2,1,1,3,3,4,2,3,3,3,3,3,4
11,17,2,1,1,1,3,1,4,4,2,1,3,3,4
3,24,1,1,1,4,3,4,2,4,3,3,3,4,4
3,17,1,2,1,2,3,3,3,2,2,1,2,4,4
3,25,1,2,1,4,1,5,1,3,1,3,2,5,3
3,38,1,1,1,1,3,2,4,2,2,2,4,2,4
11,17,1,2,1,2,3,4,3,4,4,2,4,2,4
11,18,2,2,1,5,2,5,2,5,1,5,3,4,1
3,24,1,2,2,2,5,2,5,2,3,3,4,1,5
11,21,1,2,1,2,3,2,4,1,2,2,5,5,5
3,42,1,2,1,2,3,2,5,3,1,1,5,1,5
3,33,1,2,1,1,4,3,4,1,4,2,4,4,4
1,22,2,1,1,3,2,4,5,5,5,1,5,1,5
6,22,1,2,2,1,5,1,5,1,5,1,5,1,1
3,20,1,2,1,1,4,3,4,2,4,1,4,2,5
8,52,1,2,1,3,4,4,4,4,2,2,2,4,3
3,50,1,2,1,3,2,4,2,5,1,4,4,5,3
3,70,1,1,1,2,4,2,4,4,3,1,5,1,4
3,35,1,2,1,2,2,3,4,4,3,2,4,2,4
3,34,1,2,1,1,2,3,4,3,3,1,5,1,4
4,22,2,2,1,2,1,2,2,2,2,2,2,4,4
13,19,1,2,1,1,3,2,5,1,3,1,4,2,5
1,15,1,1,1,1,3,1,4,4,4,2,3,4,2
3,28,1,1,1,5,1,5,2,5,1,5,2,5,1
3,14,1,2,1,1,1,1,1,5,1,1,3,3,2
3,19,1,1,1,2,3,4,3,3,3,2,3,4,3
1,25,1,2,1,2,4,3,3,2,2,1,5,2,5
3,19,1,1,1,2,4,3,4,3,3,3,5,1,4
3,54,1,1,1,3,2,4,2,4,2,2,3,3,3
11,17,2,1,2,2,1,3,2,5,3,4,4,4,3
3,46,1,1,1,5,2,3,2,4,3,3,3,4,3
3,16,1,1,1,1,3,1,4,2,3,1,3,3,5
3,48,1,2,1,4,1,5,2,5,1,5,2,4,3
3,20,1,1,1,1,3,4,3,4,2,3,3,3,2
3,16,1,2,1,2,2,4,3,3,2,4,4,2,4
11,32,2,2,1,3,2,4,3,4,2,3,4,4,4
3,16,1,1,2,3,2,4,2,4,2,4,3,4,3
3,27,1,2,1,3,4,2,3,5,1,3,3,5,3
6,17,2,2,1,1,5,2,4,1,3,1,5,1,5
